Pojem;skupina
Headmaster;Humans
School;Place
Student;Humans
Castle;Place
Boarding school;Place
Beast;Creatures
Goblin;Creatures
Centaur;Creatures
Giant;Creatures
Phoenix;Creatures
Witch;Creatures
Wizard;Creatures
Dragon;Creatures
Boggart;Creatures
Vampire;Creatures
Monster;Creatures
Elf;Creatures
Dwarf;Creatures
Demigod;Creatures
Alien;Creatures
Werewolf;Creatures
Unicorn;Creatures
Rat;Creatures
Owl;Creatures
Sphinx;Creatures
Troll;Creatures
Hobbit;Creatures
Fairy;Creatures
Human;Creatures
Angel;Creatures
Demon;Creatures
God;Creatures
mystical creatures ;Creatures
Prince;Humans
Princess;Humans
King;Humans
Queen;Humans
Prisoner;Humans
Orphan;Humans
Muggle;Humans
Witch;Humans
Wizard;Humans
Dark Lord;Humans
Apprentice;Humans
Friend;Humans
Enemy;Humans
Magic;Magic
Witchcraft;Magic
Wizardry;Magic
Charms;Magic
Transfiguration;Magic
Curse;Magic
Jinx;Magic
Divination;Magic
Dark arts;Magic
Patronus;Magic
Invisibility;Magic
Immortal;Magic
Alchemy;Magic
Animagus;Magic
Spell;Magic
Sorcery;Magic
ability to fly;Magic
Powers;Magic
Time travel;Magic
Magician;Magic
Miracles;Magic
Transform;Magic
Enchantment;Magic
Force;Magic
Friendship;Values
Power;Values
Bravery;Values
Courage;Values
Loyalty;Values
Honesty;Values
Dark side;Values
Wisdom ;Values
Evil;Values
Love;Values
Elitism;Values
Pure Blood;Values
Choice;Values
Friendship;Values
Imagination;Values
eternal life;Values
Family;Values
Goblet;Object
Potion;Object
Wand;Object
Flying broom;Object
Train;Object
Socks;Object
Mirror;Object
Hat;Object
Letter;Object
Sword;Object
Chess;Object
Scar;Object
Pig tail;Object
Chocolate;Object
Parchment;Object
Maze;Object
Voldemort;Names
Hermione Granger;Names
Harry Potter;Names
Ron Weasley;Names
Nicholas Flamel;Names
marauders ;Humans
Duel;Magic
Invisible;Magic
Apocalypse;Event
Journey;Event
Invasion ;Event
Fighting;Event
test;Event
Nightmare;Event
Mankind;Humans
Secret;Spiritual
Legend;Spiritual
Myth;Spiritual
Destiny;Spiritual
Fate;Spiritual
Mysterious;Spiritual
Consequences;Spiritual
Danger ;Mission
Dangerous;Mission
Future;Time
Revenge;Mission
Hate;Mission
Tom Riddle;Names
Leacky cauldron;Place
Orphanage;Place
Outsider;Humans
Mission;Mission
Quest;Mission
Calling;Mission
Save the world;Mission
Destroy the base;Mission
Find ;Mission
;
;
